date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2018-01-01,2018,1,January,West Bank,Jericho,PS0135,political_violence,11,0
2018-01-01,2018,1,January,West Bank,Qalqilya,PS0120,political_violence,29,1
2018-01-01,2018,1,January,West Bank,Salfit,PS0125,political_violence,13,0
2018-01-01,2018,1,January,West Bank,Nablus,PS0115,political_violence,68,4
2018-01-01,2018,1,January,West Bank,Ramallah and Al Bireh,PS0130,political_violence,58,2
2018-01-01,2018,1,January,West Bank,Bethlehem,PS0145,political_violence,25,1
2018-01-01,2018,1,January,West Bank,Al Quds,PS0140,political_violence,68,0
2018-01-01,2018,1,January,West Bank,Hebron,PS0150,political_violence,35,0
2018-01-01,2018,1,January,West Bank,Tulkarm,PS0110,political_violence,3,0
2018-01-01,2018,1,January,West Bank,Tubas,PS0105,political_violence,0,0
2018-02-01,2018,2,February,West Bank,Jenin,PS0101,political_violence,16,2
2018-02-01,2018,2,February,West Bank,Jericho,PS0135,political_violence,10,1
2018-02-01,2018,2,February,West Bank,Qalqilya,PS0120,political_violence,27,0
2018-02-01,2018,2,February,West Bank,Salfit,PS0125,political_violence,23,1
2018-02-01,2018,2,February,West Bank,Nablus,PS0115,political_violence,56,1
2018-02-01,2018,2,February,West Bank,Ramallah and Al Bireh,PS0130,political_violence,74,0
2018-02-01,2018,2,February,West Bank,Bethlehem,PS0145,political_violence,29,0
2018-02-01,2018,2,February,West Bank,Al Quds,PS0140,political_violence,51,0
2018-02-01,2018,2,February,West Bank,Hebron,PS0150,political_violence,36,1
2018-02-01,2018,2,February,West Bank,Tulkarm,PS0110,political_violence,6,1
2018-02-01,2018,2,February,West Bank,Tubas,PS0105,political_violence,3,0
2018-03-01,2018,3,March,West Bank,Jenin,PS0101,political_violence,7,2
2018-03-01,2018,3,March,West Bank,Jericho,PS0135,political_violence,6,0
2018-03-01,2018,3,March,West Bank,Qalqilya,PS0120,political_violence,22,0
2018-03-01,2018,3,March,West Bank,Salfit,PS0125,political_violence,1,0
2018-03-01,2018,3,March,West Bank,Nablus,PS0115,political_violence,36,1
2018-03-01,2018,3,March,West Bank,Ramallah and Al Bireh,PS0130,political_violence,51,0
2018-03-01,2018,3,March,West Bank,Bethlehem,PS0145,political_violence,18,0
